Connected to the server
Starting a file (upload.txt) upload...
received ack: 1195572: from the server
received ack: 1039880: from the server
received ack: 5693636: from the server
received ack: 9982920: from the server
received ack: 820218: from the server
received ack: 3148940: from the server
received ack: 1649096: from the server
received ack: 9580260: from the server
received ack: 1339970: from the server
received ack: 8878940: from the server
received ack: 7909100: from the server
received ack: 8905780: from the server
received ack: 6678864: from the server
received ack: 9382560: from the server
received ack: 3337976: from the server
received ack: 3202544: from the server
received ack: 2452408: from the server
received ack: 4155486: from the server
received ack: 269382: from the server
received ack: 648394: from the server
received ack: 4046554: from the server
received ack: 9771968: from the server
received ack: 5327926: from the server
received ack: 6373266: from the server
received ack: 3384378: from the server
received ack: 400914: from the server
received ack: 4501494: from the server
received ack: 4877430: from the server
received ack: 5295950: from the server
received ack: 4506744: from the server
received ack: 6372682: from the server
received ack: 1245962: from the server
received ack: 9750500: from the server
received ack: 8545228: from the server
received ack: 4567576: from the server
received ack: 2492112: from the server
received ack: 9678342: from the server
received ack: 6456406: from the server
received ack: 9279278: from the server
received ack: 2480048: from the server
received ack: 7230876: from the server
received ack: 2095454: from the server
received ack: 6152266: from the server
received ack: 5540562: from the server
received ack: 2922408: from the server
received ack: 35398: from the server
received ack: 6209226: from the server
received ack: 3368716: from the server
received ack: 2168068: from the server
received ack: 390032: from the server
received ack: 2151802: from the server
received ack: 6963630: from the server
received ack: 4273786: from the server
received ack: 7235894: from the server
received ack: 4553852: from the server
received ack: 1715594: from the server
received ack: 222452: from the server
received ack: 3136882: from the server
received ack: 1362504: from the server
received ack: 8557572: from the server
received ack: 4318628: from the server
received ack: 9281280: from the server
received ack: 8790366: from the server
received ack: 184498: from the server
received ack: 4772144: from the server
received ack: 1039270: from the server
received ack: 5899288: from the server
received ack: 9286602: from the server
received ack: 1023656: from the server
received ack: 355740: from the server
received ack: 1824664: from the server
received ack: 8934686: from the server
received ack: 1017856: from the server
received ack: 7385378: from the server
received ack: 8173048: from the server
received ack: 23344: from the server
received ack: 9139610: from the server
received ack: 174690: from the server
received ack: 4554836: from the server
received ack: 8690056: from the server
received ack: 9232110: from the server
received ack: 4282966: from the server
received ack: 1054364: from the server
received ack: 9246488: from the server
received ack: 7517710: from the server
received ack: 8309642: from the server
received ack: 5667728: from the server
received ack: 6379068: from the server
received ack: 1597900: from the server
received ack: 5074552: from the server
received ack: 3172334: from the server
received ack: 7928792: from the server
received ack: 3698294: from the server
received ack: 5306518: from the server
received ack: 3895170: from the server
received ack: 3632224: from the server
received ack: 598300: from the server
received ack: 151812: from the server
received ack: 691250: from the server
received ack: 4595862: from the server
received ack: 4105940: from the server
received ack: 3599034: from the server
received ack: 7198744: from the server
received ack: 7452826: from the server
received ack: 345012: from the server
received ack: 9968050: from the server
received ack: 6464310: from the server
received ack: 6513374: from the server
received ack: 2363132: from the server
received ack: 7108130: from the server
received ack: 3820584: from the server
received ack: 87668: from the server
received ack: 7473454: from the server
received ack: 508768: from the server
received ack: 5006862: from the server
received ack: 6982934: from the server
received ack: 3451906: from the server
received ack: 7705866: from the server
received ack: 7710526: from the server
received ack: 8545152: from the server
received ack: 3268582: from the server
received ack: 930418: from the server
received ack: 4207406: from the server
received ack: 9764092: from the server
received ack: 2664078: from the server
received ack: 1074930: from the server
received ack: 3705270: from the server
received ack: 8842000: from the server
received ack: 8318658: from the server
received ack: 965546: from the server
received ack: 4328360: from the server
received ack: 6998654: from the server
received ack: 7883804: from the server
received ack: 7235898: from the server
received ack: 6818072: from the server
received ack: 3409824: from the server
received ack: 5626270: from the server
received ack: 839178: from the server
received ack: 3114560: from the server
received ack: 4230518: from the server
received ack: 5006106: from the server
received ack: 6938108: from the server
received ack: 8318744: from the server
received ack: 3745158: from the server
received ack: 3934920: from the server
received ack: 1020814: from the server
received ack: 8796228: from the server
received ack: 4491976: from the server
received ack: 2096928: from the server
received ack: 626286: from the server
received ack: 670622: from the server
received ack: 5211980: from the server
received ack: 7296194: from the server
received ack: 8767782: from the server
received ack: 5711296: from the server
received ack: 6026610: from the server
received ack: 60496: from the server
received ack: 4438236: from the server
received ack: 2441866: from the server
